Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
G0811WAR05,"9"" x 16"" 1-1/2 HP Horizontal Metal-Cutting Bandsaw - 5 Year Warranty","$5,030.00","$4,032.00",349,"$4,480.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$649.00,12.90%
G0756WAR05,"27-1/2"" Heavy-Duty Gearhead Drill Press - 5 Year Warranty","$6,865.00","$5,458.50",525,"$6,065.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$881.50,12.84%
G1023RLWWAR03,"10"" 3 HP 240V Cabinet Table Saw with Built-in Router Table - 3 Year Warranty","$3,245.00","$2,479.50",349,"$2,755.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$416.50,12.84%
SB1125WAR03,"19-1/2"" Variable Speed Drill Press - 3 Year Warranty","$4,435.00","$3,572.35",299,"$3,905.00",Unavailable,FALSE,South Bend,,,LTL Freight,$563.65,12.71%
G0811WAR03,"9"" x 16"" 1-1/2 HP Horizontal Metal-Cutting Bandsaw - 3 Year Warranty","$4,725.00","$3,775.50",349,"$4,195.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$600.50,12.71%
T33906,"21"" Variable-Speed Scroll Saw with Foot Pedal and Stand",$863.95,$704.24,49.95,$749.00,Unavailable,FALSE,Grizzly,TW,690550610578,Parcel,$109.76,12.70%
D3783,"Lathe Chisel Set, 6-Pc.",$79.95,$50.81,18.99,,Available,FALSE,Shop Fox,CN,769433437837,Parcel,$10.15,12.70%
G0811,"9"" x 16"" 1-1/2 HP Horizontal Metal-Cutting Bandsaw","$4,295.00","$3,401.10",349,"$3,779.00",Available,FALSE,Grizzly,TW,690550264788,LTL Freight,$544.90,12.69%
G1066ZWAR03,"24"" 5 HP Variable-Speed Drum Sander - 3 Year Warranty","$4,105.00","$3,325.50",259,"$3,695.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$520.50,12.68%
G1071WAR03,1 HP Oscillating Spindle Sander - 3 Year Warranty,"$1,840.00","$1,408.50",199,"$1,565.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$232.50,12.64%
T33150,3-Speed HEPA Hanging Air Filter,$595.00,$490.50,29.95,$545.00,Available,FALSE,Grizzly,TW,690550610998,Parcel,$74.55,12.53%
SB1110WAR05,"10"" 3 HP 220V Table Saw - 5 Year Warranty","$3,595.00","$2,848.50",299,"$3,165.00",Unavailable,FALSE,South Bend,,,LTL Freight,$447.50,12.45%
